count,post_id,post_date,keyword,message,is_question
85,51657765,43263.64844,giúp em,hic xem 1250 mà k ai trả lời giúp em ạ :(,1
86,51658970,43264.13635,làm sao,Tại sao khi vào superSU lại hiện lên dòng chữ how to root. Và làm sao để dùng SuperSU,1
87,51665712,43265.4048,làm sao,"Các bro cho e hỏi chút. Em có người chuyển hàng cho em từ Mỹ về vn qua dịch vụ usps từ cuối thán 3 mà h cãn chưa nhận dc. Check cái tracking nunber thì từ cuối tháng 3 đến h vẫn ở trạng thái “in transit”. E chắc là hàng về đến vn rồi nhưng thất lạc đâu đó vì mấy bố hải quan hay làm ăn vớ vẩn. H e phải làm sao nhỉ ? 

Tracking em để kèm ảnh nhé. Các bác thấy vẫn ở trạng thái in transit 2 tháng nay rồi.",1
88,51672119,43267.10719,làm sao,"cuối cùng thì cũng đã xong, qua giờ cứ tưởng ios nó bị làm sao chứ",0
89,51674096,43267.56718,giúp em,"Có bác nào gặp tình trạng này giúp em với. Máy em iphone 7 Plus, chạy ios 11.4 Em trước dùng iPhone 6 plus thì dùng ngon lành, đến khi chuyển sim sang iphone 7 plus thì bị lỗi: Messenger tắt dữ liệu di động dùng wifi thì ok, nhưng cứ hễ bật dữ liệu di động thì gọi được khoàng 2s là văng trong khi máy đầu bên kia vẫn đổ chuông như thường. 
Bác nào đã gặp tình trạng này cho em xin cao kiến.",1
90,51675761,43268.20679,làm sao,"Hồi t1 binance có up lên app store, nhưng giờ gỡ xuống rồi, ko biết làm sao để cho noa chạy trên ios, mà mình thấy có người sử dụng đc trên iphone,",1
91,51680078,43269.19759,giúp mình,"Các bạn cho mình hỏi, Honor 9 lite  có tính năng vào mỗi user bằng một mật khẩu hoặc vân tay không nhỉ?(nếu có hướng dẫn chi tiết giúp mình nhé)",1
92,51684730,43270.19466,cứu với,"[B]Kỹ năng hạ gục nhà tuyển dụng (video free)
[/B]
[ATTACH=full]3872872[/ATTACH]
[B]
BÍ QUYẾT HẠ GỤC NHÀ TUYỂN DỤNG[/B]
1. THÊM KIẾN THỨC – THÊM TỰ TIN
Bạn đã bắt đầu quá trình nghiên cứu với một bộ hồ sơ tốt, và giờ là lúc để bắt đầu đặt cược: Tìm hiểu thêm về chức năng nhiệm vụ, những thành tựu và sự kiện quan trọng của công ty. Bạn cũng cần đọc các thông tin trên các kênh truyền thông xã hội song song với tìm hiểu thông tin về ngành nghề, sự cạnh tranh và người sẽ phỏng vấn bạn. Bạn càng biết nhiều, bạn càng cảm thấy tự tin.

2. TRANG PHỤC PHÙ HỢP
Quần áo bạn lựa chọn mặc đi phỏng vấn phải trông thật chuyên nghiệp, hãy thoải mái và bạn sẽ cảm thấy tự tin hơn. Tìm hiểu về văn hóa của công ty và cách mọi người ăn mặc trước khi quyết định mặc gì (có thể mặc vét khi phỏng vấn tại ngân hàng, hay mặc những bộ quần áo thông thường khi tới các công ty quảng cáo v.v…). Và hãy nhớ rằng nếu bạn chưa bao giờ mặc vét và muốn mặc tới dự phỏng vấn, hãy luyện tập trước một chút (bạn có thể cảm thấy khó chịu và vì vậy trông bạn cũng sẽ không thoải mái). Đừng quên đánh bóng giày của bạn và đảm bảo rằng không có vết rộp nào trên giầy khi bạn ra khỏi nhà.

3. CHUẨN BỊ KỸ CÁC CÂU HỎI KHỞI ĐỘNG
Có thể cược rằng bạn chắc chắn sẽ phải nói đôi điều với người phỏng vấn về bản thân bạn, lý do bạn nên được tuyển dụng và những mục tiêu nghề nghiệp của bạn. Hãy luyện tập trước các câu trả lời nhưng đừng có vẻ như cố gắng học thuộc. Đừng chỉ ghi nhớ những thông tin trong CV của bạn và gần như đọc hết ra khi được hỏi về bản thân. Sẽ là thông minh nếu bạn chỉ tham khảo những thông tin đó vì có vẻ như là người phỏng vấn đã có một bản thông tin đó trước mặt rồi, chỉ nhắc tới những sự kiện hay những điểm chính khi cần thiết, và đảm bảo bạn luôn thêm những câu chuyện thú vị về những thông tin đã nêu trong CV của bạn.

4… VÀ SẴN SÀNG CHO NHỮNG CÂU HỎI KHÓ
Sao bạn không nói cho tôi biết về những điểm yếu của bạn nhỉ? Đây là cách mà bạn sẽ ghi điểm với những câu hỏi khó như vậy: Chọn lấy một điểm yếu của bản thân và khéo léo biến nó thành một điểm mạnh liên quan đến công việc. “Tôi là một người hơi thiếu kiên nhẫn, chỉ đơn giản là vì tôi muốn hoàn thành công việc đúng hạn và không làm ảnh hưởng tới công việc của cả nhóm.” Điều quan trọng là phải trung thực và đừng bao giờ trả lời rằng: “Tôi không có điểm yếu nào cả”.

5. CHUẨN BỊ SẴN SÀNG ĐỐI PHÓ VỚI NHỮNG CÂU HỎI HÓC BÚA
Hãy tưởng tượng bạn là một dụng cụ làm bếp, vậy bạn sẽ là loại dụng cụ nào và tại sao? Những câu như vậy không thường xuyên được hỏi, nhưng nếu có, hãy cố gắng thoải mái và tự tin khi trả lời. Đó là những câu hỏi để kiểm tra tư duy phản biện và khả năng tự vận động suy nghĩ của bạn. Hãy đảm bảo nhấn mạnh cá tính của bạn khi trả lời và khiến câu trả lời của bạn trở nên vui vẻ và thú vị (tất nhiên là phải thích hợp nữa). Và cho câu hỏi về dụng cụ nhà bếp? Bạn có thể cân nhắc trả lời: Tôi là dụng cụ mở hộp.Thậm chí mặc dù đó không phải là loại dụng cụ quan trọng đầu tiên trong bếp, nó thật sự là một dụng cụ cần thiết cho mỗi bữa ăn.

6. BIẾT KHI NÀO CÓ THỂ TRÌ HOÃN
Nếu bạn không có câu trả lời và cảm thấy hơi hoảng sợ, hít một hơi thật sâu và hãy hỏi một cách tự tin và bình tĩnh rằng liệu bạn có thể trả lời câu hỏi này sau được không. Tránh nói lan man và đừng để lộ ra sự lo lắng của mình. Sẽ tốt hơn nếu bạn lấy tự tin bằng một vài câu hỏi khác (dễ hơn) và sau đó quay trở lại với những câu hỏi khó. (Ai mà biết được, có thể người phỏng vấn sẽ quên béng mất việc hỏi lại!) Mặc dù vậy phải cảnh báo rằng: Đừng phụ thuộc quá nhiều vào mẹo này và chỉ yêu cầu trì hoãn khi thực sự cần thiết; nếu yêu cầu trì hoãn quá nhiều lần có thể khiến bạn trông có vẻ như là thiếu chuẩn bị.

7. HÃY THÀNH THẬT
Không có gì phải lo sợ về những khoảng thời gian thất nghiệp hay hành trình công việc lòng vòng nêu trong CV của bạn. Sau cùng thì bạn có một cuộc phỏng vấn, vậy nghĩa là họ thích hồ sơ của bạn và muốn biết nhiều thông tin hơn. Hãy thành thật và nói rõ những gì bạn đã học được trong những khoảng thời gian gián đoạn đó (dù với bất cứ lý do nào) và bạn sẽ đạt được những gì trong công việc mà bạn đang ứng tuyển; thậm chí một giai đoạn thất nghiệp lại có thể trở thành một lợi thế nếu bạn sử dụng thời gian đó để bằng cách nào đó cải thiện bản thân và tích cực tìm kiếm công việc.

8. TRÁNH NHỮNG ĐIỀU SAU
Đừng đến muộn, tỏ ra thô lỗ hay nói xấu ông chủ hoặc đồng nghiệp cũ của bạn. Nối dối, chia sẻ quá nhiều, hay đùa cợt không đúng lúc hoặc cố gắng cướp lời là những cách “tuyệt vời” khác để tạo ấn tượng xấu. Ăn một chiếc bánh sandwich hành tây trên một chiếc bánh hạt poppy ngay trước khi phỏng vấn cũng có thể có “hiệu quả” tương tự. Nếu bạn tới đúng giờ, trông thanh lịch, vui vẻ và hòa đồng, khá chắc rằng bạn sẽ có một khởi đầu tốt.

9. LUÔN LUÔN (LUÔN LUÔN) CHUẨN BỊ MỘT CÂU HỎI
Việc đặt câu hỏi là một cách đơn giản mà bạn đừng bao giờ bỏ qua để thể hiện tư duy phản biện của mình, chẳng hạn “Có lý do gì để tôi không được nhận không?”. Nếu bạn thấy bất kỳ biểu hiện nghi ngờ hay do dự nào từ phía người phỏng vấn, đây chính là cơ hội để bạn làm rõ về yêu cầu công việc và cung cấp thêm thông tin về bản thân.

10. THỰC TẾ, HÃY HỎI MỘT CÁCH THÔNG MINH
Mở đầu câu hỏi của bạn với một vài thông tin cá nhân và nhẹ nhàng với một mũi tên trúng hai đích: “Tôi đã dạy xếp chữ cho những đứa trẻ nhà tôi ở trại hè. Liệu vai trò của tôi có thích hợp để tôi tham gia vào các dự án cộng đồng hay không?”

11. THEO SÁT NHƯ MỘT ÔNG CHỦ
Cuối cùng nhưng không kém phần quan trọng, hãy luôn kết thúc bằng việc gửi email hoặc thư viết tay để cảm ơn người phỏng vấn đã cho bạn cơ hội. Đó là một cơ hội tốt để nhắc lại một lần nữa rằng bạn là một ứng viên phù hợp và rằng thật tuyệt khi được gặp gỡ mọi người. Viết ngắn gọn, ngọt ngào và thân thiện, và hãy nhớ gửi đi trong vòng 24 giờ kể từ buổi phỏng vấn của bạn.
nguồn: EF.com

[B]LINK VIDEO BÀI GIẢNG: [URL]http://123link.pw/cRjFs[/URL]

LINK NGUỒN: [URL]http://bit.ly/2JZ8Rhh[/URL][/B]",0
93,51695758,43272.3499,làm sao,"Một vài góp ý:
- Ngồi làm sao cho khớp gối tạo một góc tầm 90o là hợp lý, muốn vậy thì chiều cao của ghế phải phù hợp tương đối với chiều cao cơ thể.
- Tư thế để tay thả lỏng vừa vặn trên mặt bàn cũng rất quan trọng, do đó chiều cao bàn cũng phải phù hợp chiều cao cơ thể.
- Nếu chưa từng xuất hiện đau lưng hoặc đau mỏi cổ vai gáy thường xuyên thì không được ngồi làm việc quá lâu, từ 45 - 60 phút phải đứng dậy, xoay trở đi lại vài phút rồi tiếp tục làm việc.
- Đặc biệt tránh để màn hình quá thấp, phải cuí cổ xuống nhiều khi làm việc, sẽ dễ dẫn đến hội chứng vai gáy.",0
94,51700874,43273.58973,"cho em hỏi
giúp em","Mn cho em hỏi tí ạ:
Cây pc của em cái Card đồ họa quạt vẫn quay nhưng khi cắm cáp VGA với HDMI thì không xuất ra tín hiệu,nhưng cắm trên cổng VGA chính của PC thì được!
Vậy cho em hỏi là:Lỗi card hay cổng HDMI Và VGA? Có sửa đc không ạ?
Nếu không sửa đc thì thay Cái card khác không phải Gv N220Tc vào có chạy đc không?
Em đang dùng Card Gv N220Tc ạ...
Ai nhiệt tình trả lời giúp em thì Ib fb of zalo cho em với:01679854293 cảm ơn",1
95,51703674,43274.39035,giúp em,tình hình con ipad mini wifi chạy ios 9.3.5 của em sau restore máy thì bị như vậy bác nào giúp em với[ATTACH=full]3875974[/ATTACH],1
96,51708447,43275.68032,giúp em,"các bác giúp em xoá file update game với. trong lúc em đổi wifi thì máy em tự kết nối internet nên giờ mỗi lần mở game nó cứ kêu update game. update game chứ ko phải update fw nha các bác. em mò trong ftp folder user\download có mấy file tên download, em đã xoá rồi nhưng vẫn bị",1
97,51709964,43276.15662,giúp mình,"Hôm nay mình xin chia sẻ với các bạn một app kiếm tiền rất nhanh và uy tín app này đọc tin và kiếm tiền có tên là việt nam ngày nay nhé ae. Mình đã kiếm được hàng chục triệu từ app này rồi nay mình chia sẻ cho ae kiếm tiền app hỗ trợ rút tiền bằng thẻ cào, ra tiền mặt nhé ae cái này ae tự tìm hiểu giúp mình. Appp hỗ trợ android và iPhone nhé ae. Ae vào link này rồi ấn tải xuống nó tự chuyển vào app store hoặc ch play cho ae nhé
Link: [URL]http://invite.vnay.vn/static/share_invite_plane.html?pos=pos100&shared_uid=14276847&shared_utc=1529669319711&dest=clipboard[/URL]",0
98,51709995,43276.1585,làm sao,"android rất dở ở chỗ đó. làm sao phải bảo mật tốt hơn để chống hard reset. khi hard reset phải yêu cầu pass còn không khi bị mất trộm điện thoại thì vô tình cho chúng nó rồi. tôi mới bị mất điện thoại, chỉ chưa đầy 10h là nó đã hard reset là sử dụng ngon lành như máy mới vậy. còn không thì nhà sản suất nên có chế độ khóa máy từ xa và khóa bằng số imei để kẻ gian không sử dụng được",0
99,51716589,43277.37333,giúp em,"Các bác cứu em với. Máy em đang iOS 12 DP beta 2. Em muốn up bản 12 public beta nên đã back về 11.4 bằng iTunes (nhấn option, chọn Update), sau khi update xong nó đến màn hình Swipe up to recover > Nhập passcode 2 lần rồi nó hiện Attempting data recovery loading một hồi cái nó báo failed rồi lại hiện Swipe up to recover. Cứ như vậy nó loop và stuck ở đó luôn. Em đã tắt máy rồi force restart rồi cũng vẫn hiện Swipe up to recover. iTunes thì nó báo không nhận, báo máy đang bị khoá. Các bác ai có kinh nghiệm giúp em với.",1
100,51722064,43278.37229,làm sao,"thì cũng phải làm sao có lợi cho người dùng, chứ giờ nạp thẻ được KM tối đa 20% theo luật nghe đã chán rồi, giờ may còn có mấy cái ưu đãi này coi như cũng mát lòng",0
101,51720473,43278.18567,giúp mình,"Hôm nay mình xin chia sẻ với các bạn một app kiếm tiền rất nhanh và uy tín app này đọc tin và kiếm tiền có tên là việt nam ngày nay nhé ae. Mình đã kiếm được hàng chục triệu từ app này rồi nay mình chia sẻ cho ae kiếm tiền app hỗ trợ rút tiền bằng thẻ cào, ra tiền mặt nhé ae cái này ae tự tìm hiểu giúp mình. Appp hỗ trợ android và iPhone nhé ae. Ae vào link này rồi ấn tải xuống nó tự chuyển vào app store hoặc ch play cho ae nhé
Link: [URL]http://invite.vnay.vn/static/share_invite_plane.html?pos=pos100&shared_uid=14276847&shared_utc=1530069495686&dest=clipboard&v=1[/URL]",0
102,51727925,43279.42005,giúp mình,"bạn ơi làm giúp mình với

[email]fyjaebum@gmail.com[/email]
1234zxc@",1
103,51755011,43285.8156,giúp mình,"xin các anh em có lòng hảo tâm game dark lords for ipad v1.0.18 nếu được thì càng tốt. mình rất thích thể loại game này, đối với mình những game mới hiện nay vẫn chưa có thể loại game nhập vai thủ thành nào vượt qua nổi game này. nhưng khổ nỗi bây giờ mình tìm hoài trên google mà ko có. Nếu có các version củ chơi offline thì quá tuyệt vời, vì giờ game ko hỗ trợ online nữa nên các version online hình như bị lỗi hết rồi, có lẽ lỗi là do lưu save game trên sever chủ của game nên ko lưu được và phát sinh lỗi!!
vô cùng cảm ơn các anh em đã xem bài, nếu đuợc thì hãy giúp mình với nhé!...
[ATTACH=full]3884133[/ATTACH] [ATTACH=full]3884134[/ATTACH] [ATTACH=full]3884135[/ATTACH]",0
104,51755159,43286.01351,làm sao,"Bạn về quê gặp nhà nông xem họ diệt cỏ, diệt sâu bằng gì nhé. Coi xong chắc bạn không dám ăn luôn.

Chất độc màu da cam đúng là rất nguy hiểm nhưng không như tuyên truyền. Và câu rừng phá hủy hoàn toàn do chất độc màu da cam là không phải. Nếu phá hủy hoàn toàn thì làm sao bộ đội có thể trốn trong rừng, làm sao sau năm 73 có thể kéo quân, kéo pháo. xe tăng súng đạn qua dãy Trường Sơn. Chưa kể phá hủy rừng thì thời đó mưa xuống là sạt lở giống bây giờ rồi.

Tóm lại bạn về nhà mua bình thuốc diệt cỏ rồi thử nghiệm, nhanh hiệu quả chưa đến 1 ngày nhưng khoảng tuần cỏ vẫn mọc lại",0
105,51765567,43288.18578,làm thế nào,"Khi website có lỗ hổng, tội phạm mạng dễ dàng xâm nhập, tấn công và khai thác dữ liệu khiến website bị nhiễm độc gây nguy hiểm không chỉ cho chủ sở hữu trang web mà cho cả những khách truy cập. Sau khi website đã được khử độc, nếu quản trị viên vẫn chủ quan không quan tâm đến các lỗ hỗng này thường xuyên thì website vẫn sẽ dễ dàng bị nhiễm độc trở lại bất cứ lúc nào.

Để ngăn chặn điều này xảy ra, người dùng cần có những phương pháp thích hợp để bảo vệ máy chủ cũng như máy tính của mình khi kết nối với tài khoản máy chủ.
                       [IMG]http://securitybox.vn/wp-content/uploads/2018/03/Nguy%C3%AAn-t%E1%BA%AFc-b%E1%BA%A3o-m%E1%BA%ADt.jpg[/IMG]
                                                            [I]Ảnh minh họa: SecurityBox[/I]
Để thuận tiện cho việc sử dụng Internet trên mọi thiết bị rất nhiều ứng dụng của các website ra đời và được nhiều người cài đặt. Nỗi lo về bảo mật ứng dụng web theo đó cũng là vấn đề làm các tổ chức đau đầu. Các nguyên tắc bảo mật cho ứng dụng website dưới đây buộc các tổ chức phải tuân theo để hạn chế thấp nhất khả năng ứng dụng bị tấn công.

[B]Đào tạo an ninh ứng dụng:[/B]
Mọi người thường cho rằng nhà phát triển web có sự hiểu biết tổng thể về cả các lỗ hổng ảnh hưởng đến các ứng dụng Web, tuy nhiên họ thưởng chỉ cố gắng làm thế nào cho web hoạt động tốt chứ phần lớn không chú trọng đến những lổ hổng đang tồn tại. Họ thường giả định rằng tất cả các nguy cơ an ninh đều đến từ phía mạng, tường lửa, ssl hay lỗi máy chủ mà rất nhiều người ý thức được rằng bảo mật ứng dụng web nằm trong mã chứa lỗ hổng dễ bị khai thác.
                                      [IMG]http://securitybox.vn/wp-content/uploads/2017/04/viec-lam-cho-sinh-vien-nganh-an-ninh-mang-300x225.jpg[/IMG]
                                                    [I]Ảnh minh họa: SecurityBox[/I]

Đào tạo nhà phát triển bảo mật ứng dụng là hoàn toàn cần thiết để các nhà phát triển chủ động hoàn thiện sản phẩm hạn chế tối đa nhất lỗ hổng tồn tại để kiểm soát an ninh đồng thời nắm được vấn đề để phòng ngừa được mã độc tấn công.

[B][SIZE=4]Liên tục cập nhật:[/SIZE][/B]
Để nâng cao mức độ bảo mật, người dùng cần phải cập nhật website của mình thường xuyên, đặc biệt theo dõi thông tin phiên bản mới nếu đang dùng các phần mềm web nguồn mở (CMS, portal, forum...).

Tất cả các phần mềm mà người sử dụng quản lý bằng tài khoản máy chủ phải là phiên bản mới nhất và tất cả các bản vá bảo mật cần phải được áp dụng ngay sau khi nó được phát hành. Điều này sẽ giảm nguy cơ một cuộc tấn công nhằm vào việc khai thác dữ liệu.
[B]
Xác minh độc lập về an ninh trong quá trình phát triển:[/B]
Trong quá trình phát triển xây dựng phần mềm chúng ta cần phải đảm bảo các điều khoản về bảo mật và tuân thủ chúng. Phải tiền hành quét mã nguồn liên tục để tìm kiếm và giảm thiểu các lỗ hổng trong quá trình phát triển. Kết hợp giữa việc rà soát tự động với việc kiểm tra thủ công cũng rất quan trọng để đảm bảo ứng dụng web được đảm bảo tốt nhất, an toàn nhất.

[SIZE=4][B]Quan tâm đến bảo mật máy tính:[/B][/SIZE]
Rất nhiều malware độc hại tấn công vào các trang web và được phát tán bằng cách lây nhiễm vào các máy tính. Vì vậy, vấn đề an ninh của máy chủ chứa trang web là một trong những khía cạnh quan trọng nhất trong việc bảo mật website. Giữ cho máy chủ luôn trong tình trạng an toàn và không bị nhiễm độc sẽ nâng cao mức độ an toàn cũng như tránh được sự tấn công của các malware.
[B]
Kiểm soát an ninh chung:[/B]
Để chủ động phòng thủ thì mọi hoạt động cụ thể cần phải được kiểm soát an ninh chung. Các nhà phát triển phải nắm được chính xác về những kiểm soát bảo mật mà họ nên sử dụng. Một số lĩnh vực cơ bản cần được kiểm soát bao gồm:

+ Xác thực

+ Kiểm soát truy cập

+ Nhập xác nhận

+ Mã hóa chống XSS

+ Truy cập cơ sở dữ liệu an toàn

+ Mã hóa

+ Đăng nhập

Lựa chọn kiểm soát an ninh phù hợp với tổ chức của bạn có thể khác nhau tùy thuộc vào ngôn ngữ đã chọn và các yếu tố khác.

[B][SIZE=4]Yếu tố con người vẫn đóng vai trò quan trọng nhất:[/SIZE][/B]
Theo ông Jimmy Low, chuyên gia [B][URL='http://securitybox.vn/4496/5-nguyen-tac-bao-mat-ung-dung-website/']bảo mật[/URL][/B] khu vực Đông Nam Á thuộc Kaspersky Lab trả lời phỏng vấn của Nhịp Sống Số cho biết: [I]""Mỗi hệ thống mạng đều có những vấn đề và điểm yếu riêng. Tuy nhiên, yếu điểm quan trọng nhất là yếu tố con người. Người quản trị mạng phải không ngừng nâng cao, học hỏi thêm kiến thức mới, tăng cường nhận thức về các mối đe dọa và bảo mật nhằm kịp thời nhận ra các lỗ hổng về kỹ thuật, tránh mắc phải các sai lầm trong công tác quản trị mạng"".[/I]

Ông Jimmy cho rằng bất kỳ kỹ sư nào cũng có thể phạm phải sai lầm trong giai đoạn khởi nghiệp do thiếu kinh nghiệm và lời khuyên cho các kỹ sư trẻ rằng ""[I]đừng ngại học hỏi từ người đi trước, nếu các bạn không học hỏi từ người có kinh nghiệm và từ sai lầm, các bạn khó có thể phát triển bản thân trong nghề nghiệp"".[/I]

Các malware tấn công trên website là một cơn ác mộng thực sự cho các nhà quản trị web và người sử dụng Internet trong khi tội phạm mạng không ngừng nâng cao kỹ thuật của mình và tạo thêm các cuộc khai thác mới. Việc lây lan các phần mềm độc hại diễn ra rất nhanh thông qua Internet gây ảnh hưởng đến máy chủ và các máy trạm.

Điều đó nói lên sự thật rằng không có cách nào loại bỏ các mối đe dọa này hoàn toàn. Tuy nhiên, tất cả các chủ sở hữu trang web và những người sử dụng Internet có thể làm cho Internet an toàn hơn bằng cách thực hiện theo các quy tắc bảo mật cơ bản và giữ cho website, máy tính người dùng không bị nhiễm độc trong bất cứ thời điểm nào.",0
106,51765754,43288.22153,giúp mình,"Bác liệt vài cái app bác đang xài giúp mình ????[QUOTE=""Darklord.Py, post: 51765493, member: 2393090""]Tiêu chí cá nhân:
1. Không sd app có gốc china (UcBrowser, Lazada, VNG,...)
2. Thằng nào đòi nhiều permission nhạy cảm quá (Vd: Camera, Position, Address, call log, sms,... là blacklist.)Vd: Zalo, Facebook
3. Không mạng XH
4. Nếu bắt buộc 
Chỉ là user bình thường nhưng không thích thằng nào dòm ngó, theo dõi hay trở thành món hàng cho thằng khác.[/QUOTE]",1
107,51775035,43290.47703,làm sao,cài này làm sao để gủi link ạ,1
108,51778174,43291.20617,giúp mình,"[ATTACH=full]3888078[/ATTACH]
nó báo như này và check là như này là sao vậy bạn, giúp mình với
System check: 
Description: Windows(R) Operating System, VOLUME_KMSCLIENT channel
BuildLabEx: 17134.1
Architecture: x64
PartialKey: T83GX
Edition: Professional
Status Notification
Starting activation at 10 Jul 2018 11:51:47...
Installing key VK7JG-NPHTM-C97JM-9MPGT-3V66T...
Installed product key VK7JG-NPHTM-C97JM-9MPGT-3V66T successfully.
Adding registry entries...
Running GatherOsState...
Removing registry entries...
Applying GenuineTicket.xml...
Done.
Converted license Microsoft.Windows.48.X19-98841_8wekyb3d8bbwe and stored at C:\ProgramData\Microsoft\Windows\ClipSvc\Install\Migration\28b6673b-7aa0-4bea-810b-3e8681d0fbdf.xml.
Successfully converted 1 licenses from genuine authorization tickets on disk.
Done.
Activating...
Activating Windows(R), Professional edition (4de7cb65-cdf1-4de9-8ae8-e3cce27b9f2c) ...
Error: 0xC004C003 The activation server determined the specified product key is blocked
Failed to activate Professional. License status: Notification",1
